User ID,Name,Email,Sessions Completed,Completion Rate,Avg Latency (ms),Follow Rate,Trust Score,Would Pay,NPS,Status,Notes
U001,,,0,0%,0,0%,0,$0,0,Not Started,
U002,,,0,0%,0,0%,0,$0,0,Not Started,
U003,,,0,0%,0,0%,0,$0,0,Not Started,
U004,,,0,0%,0,0%,0,$0,0,Not Started,
U005,,,0,0%,0,0%,0,$0,0,Not Started,
U006,,,0,0%,0,0%,0,$0,0,Not Started,
U007,,,0,0%,0,0%,0,$0,0,Not Started,
U008,,,0,0%,0,0%,0,$0,0,Not Started,
U009,,,0,0%,0,0%,0,$0,0,Not Started,
U010,,,0,0%,0,0%,0,$0,0,Not Started,
U011,,,0,0%,0,0%,0,$0,0,Not Started,
U012,,,0,0%,0,0%,0,$0,0,Not Started,
U013,,,0,0%,0,0%,0,$0,0,Not Started,
U014,,,0,0%,0,0%,0,$0,0,Not Started,
U015,,,0,0%,0,0%,0,$0,0,Not Started,
U016,,,0,0%,0,0%,0,$0,0,Not Started,
U017,,,0,0%,0,0%,0,$0,0,Not Started,
U018,,,0,0%,0,0%,0,$0,0,Not Started,
U019,,,0,0%,0,0%,0,$0,0,Not Started,
U020,,,0,0%,0,0%,0,$0,0,Not Started,
